,InstrumentID,time,last,volume,amount,position,ask1,bid1,asize1,bsize1
0,ni1609,2016-07-28 16:43:52.500,80480.0,641236.0,52170424960.0,328764.0,80490.0,80480.0,8.0,14.0
1,ni1609,2016-07-28 16:43:53.000,80480.0,641236.0,52170424960.0,328764.0,80490.0,80480.0,8.0,14.0
2,ni1609,2016-07-28 16:43:53.500,80480.0,641236.0,52170424960.0,328764.0,80490.0,80480.0,8.0,14.0
3,ni1609,2016-07-28 16:43:54.500,80480.0,641244.0,52171068820.0,328756.0,80490.0,80480.0,8.0,11.0
4,ni1609,2016-07-28 16:43:55.000,80490.0,641250.0,52171551760.0,328750.0,80490.0,80480.0,5.0,13.0
5,ni1609,2016-07-28 16:43:55.500,80490.0,641252.0,52171712740.0,328748.0,80490.0,80480.0,4.0,13.0
6,ni1609,2016-07-28 16:43:56.000,80500.0,641264.0,52172678660.0,328744.0,80500.0,80490.0,96.0,7.0
7,ni1609,2016-07-28 16:43:56.500,80490.0,641294.0,52175093360.0,328716.0,80490.0,80480.0,9.0,16.0
8,ni1609,2016-07-28 16:43:57.000,80490.0,641322.0,52177347120.0,328704.0,80500.0,80480.0,94.0,18.0
9,ni1609,2016-07-28 16:43:57.500,80480.0,641326.0,52177669040.0,328704.0,80500.0,80480.0,95.0,15.0
10,ni1609,2016-07-28 16:43:58.000,80480.0,641326.0,52177669040.0,328704.0,80500.0,80490.0,95.0,1.0
11,ni1609,2016-07-28 16:43:58.500,80490.0,641328.0,52177830020.0,328704.0,80490.0,80480.0,14.0,16.0
12,ni1609,2016-07-28 16:43:59.000,80490.0,641334.0,52178312960.0,328704.0,80490.0,80480.0,10.0,15.0
13,ni1609,2016-07-28 16:43:59.500,80490.0,641352.0,52179761780.0,328714.0,80500.0,80490.0,95.0,22.0
14,ni1609,2016-07-28 16:44:00.000,80480.0,641426.0,52185717740.0,328666.0,80480.0,80470.0,74.0,28.0
15,ni1609,2016-07-28 16:44:00.500,80480.0,641480.0,52190063660.0,328654.0,80480.0,80470.0,48.0,26.0
16,ni1609,2016-07-28 16:44:01.000,80480.0,641568.0,52197145900.0,328646.0,80480.0,80470.0,4.0,26.0
17,ni1609,2016-07-28 16:44:01.500,80480.0,641578.0,52197950700.0,328646.0,80490.0,80480.0,5.0,82.0
18,ni1609,2016-07-28 16:44:02.000,80480.0,641578.0,52197950700.0,328646.0,80490.0,80480.0,5.0,69.0
19,ni1609,2016-07-28 16:44:02.500,80480.0,641578.0,52197950700.0,328646.0,80490.0,80480.0,6.0,60.0
20,ni1609,2016-07-28 16:44:03.000,80480.0,641586.0,52198594540.0,328650.0,80490.0,80480.0,6.0,56.0
21,ni1609,2016-07-28 16:44:03.500,80490.0,641606.0,52200204340.0,328644.0,80500.0,80490.0,95.0,4.0
22,ni1609,2016-07-28 16:44:04.000,80500.0,641618.0,52201170260.0,328638.0,80500.0,80490.0,93.0,2.0
23,ni1609,2016-07-28 16:44:04.500,80480.0,641678.0,52205999100.0,328586.0,80490.0,80480.0,6.0,29.0
24,ni1609,2016-07-28 16:44:05.000,80490.0,641688.0,52206803960.0,328586.0,80490.0,80480.0,3.0,29.0
25,ni1609,2016-07-28 16:44:05.500,80500.0,641706.0,52208252820.0,328580.0,80500.0,80490.0,91.0,2.0
26,ni1609,2016-07-28 16:44:06.000,80490.0,641710.0,52208574780.0,328576.0,80500.0,80490.0,92.0,1.0
27,ni1609,2016-07-28 16:44:06.500,80490.0,641712.0,52208735760.0,328574.0,80490.0,80480.0,6.0,27.0
28,ni1609,2016-07-28 16:44:07.000,80480.0,641716.0,52209057700.0,328572.0,80490.0,80480.0,3.0,26.0
29,ni1609,2016-07-28 16:44:07.500,80490.0,641722.0,52209540640.0,328572.0,80500.0,80490.0,92.0,7.0
30,ni1609,2016-07-28 16:44:08.000,80490.0,641722.0,52209540640.0,328572.0,80500.0,80490.0,102.0,17.0
31,ni1609,2016-07-28 16:44:08.500,80490.0,641756.0,52212277300.0,328572.0,80490.0,80480.0,3.0,28.0
32,ni1609,2016-07-28 16:44:09.000,80490.0,641762.0,52212760240.0,328572.0,80500.0,80490.0,103.0,2.0
33,ni1609,2016-07-28 16:44:09.500,80490.0,641774.0,52213726120.0,328566.0,80500.0,80490.0,103.0,47.0
34,ni1609,2016-07-28 16:44:10.000,80500.0,641812.0,52216785120.0,328544.0,80500.0,80490.0,84.0,47.0
35,ni1609,2016-07-28 16:44:10.500,80500.0,641822.0,52217590080.0,328538.0,80500.0,80490.0,81.0,45.0
36,ni1609,2016-07-28 16:44:11.000,80500.0,641872.0,52221615080.0,328506.0,80500.0,80490.0,57.0,45.0
37,ni1609,2016-07-28 16:44:11.500,80490.0,641968.0,52229342120.0,328410.0,80490.0,80480.0,2.0,26.0
38,ni1609,2016-07-28 16:44:12.000,80500.0,641982.0,52230469080.0,328418.0,80490.0,80480.0,4.0,26.0
39,ni1609,2016-07-28 16:44:12.500,80500.0,641986.0,52230791080.0,328418.0,80490.0,80480.0,2.0,26.0
40,ni1609,2016-07-28 16:44:13.000,80500.0,641988.0,52230952080.0,328418.0,80490.0,80480.0,1.0,26.0
41,ni1609,2016-07-28 16:44:13.500,80500.0,641988.0,52230952080.0,328418.0,80490.0,80480.0,1.0,26.0
42,ni1609,2016-07-28 16:44:14.000,80490.0,641992.0,52231274020.0,328416.0,80490.0,80480.0,1.0,25.0
43,ni1609,2016-07-28 16:44:14.500,80490.0,641994.0,52231435000.0,328416.0,80500.0,80490.0,58.0,7.0
44,ni1609,2016-07-28 16:44:15.000,80490.0,642010.0,52232722840.0,328410.0,80500.0,80490.0,63.0,9.0
45,ni1609,2016-07-28 16:44:15.500,80490.0,642010.0,52232722840.0,328410.0,80500.0,80490.0,63.0,14.0
46,ni1609,2016-07-28 16:44:16.000,80500.0,642016.0,52233205840.0,328404.0,80500.0,80490.0,62.0,15.0
47,ni1609,2016-07-28 16:44:16.500,80490.0,642036.0,52234815640.0,328406.0,80500.0,80490.0,52.0,5.0
